Date,Births
1/1/59,35
1/2/59,
1/3/59,30
1/4/59,31
1/5/59,
1/6/59,29
1/7/59,45
1/8/59,43
1/9/59,38
1/10/59,27
1/11/59,38
1/12/59,33
1/13/59,55
1/14/59,47
1/15/59,45
1/16/59,
1/17/59,50
1/18/59,43
1/19/59,41
1/20/59,52
1/21/59,34
1/22/59,
1/23/59,39
1/24/59,32
1/25/59,37
1/26/59,43
1/27/59,39
1/28/59,35
1/29/59,44
1/30/59,38
1/31/59,24
2/1/59,23
2/2/59,31
2/3/59,44
2/4/59,38
2/5/59,50
2/6/59,38
2/7/59,51
2/8/59,31
2/9/59,31
2/10/59,51
2/11/59,36
2/12/59,45
2/13/59,51
2/14/59,34
2/15/59,52
2/16/59,47
2/17/59,45
2/18/59,46
2/19/59,39
2/20/59,48
2/21/59,37
2/22/59,35
2/23/59,52
2/24/59,42
2/25/59,45
2/26/59,39
2/27/59,37
2/28/59,30
3/1/59,35
3/2/59,28
3/3/59,45
3/4/59,34
3/5/59,36
3/6/59,50
3/7/59,44
3/8/59,39
3/9/59,32
3/10/59,39
3/11/59,45
3/12/59,43
3/13/59,39
3/14/59,31
3/15/59,27
3/16/59,30
3/17/59,42
3/18/59,46
3/19/59,41
3/20/59,36
3/21/59,45
3/22/59,46
3/23/59,43
3/24/59,38
3/25/59,34
3/26/59,35
3/27/59,56
3/28/59,36
3/29/59,32
3/30/59,50
3/31/59,41
4/1/59,39
4/2/59,41
4/3/59,47
4/4/59,34
4/5/59,36
4/6/59,33
4/7/59,35
4/8/59,38
4/9/59,38
4/10/59,34
4/11/59,53
4/12/59,34
4/13/59,34
4/14/59,38
4/15/59,35
4/16/59,32
4/17/59,42
4/18/59,34
4/19/59,46
4/20/59,30
4/21/59,46
4/22/59,45
4/23/59,54
4/24/59,34
4/25/59,37
4/26/59,35
4/27/59,40
4/28/59,42
4/29/59,58
4/30/59,51
5/1/59,32
5/2/59,35
5/3/59,38
5/4/59,33
5/5/59,39
5/6/59,47
5/7/59,38
5/8/59,52
5/9/59,30
5/10/59,34
5/11/59,40
5/12/59,35
5/13/59,42
5/14/59,41
5/15/59,42
5/16/59,38
5/17/59,24
5/18/59,34
5/19/59,43
5/20/59,36
5/21/59,55
5/22/59,41
5/23/59,45
5/24/59,41
5/25/59,37
5/26/59,43
5/27/59,39
5/28/59,33
5/29/59,43
5/30/59,40
5/31/59,38
6/1/59,45
6/2/59,46
6/3/59,34
6/4/59,35
6/5/59,48
6/6/59,51
6/7/59,36
6/8/59,33
6/9/59,46
6/10/59,42
6/11/59,48
6/12/59,34
6/13/59,41
6/14/59,35
